title,company,location,industry,skills,link
Director of Sales - Legal Software & Technology,Neostella,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/1900064554227223929
"Vice President, Technology",Elevate,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-6463800979291614770
Engineering Technician,"Baxter & Woodman, Inc.","Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-6801210316975162008
AI Sales Executive/ AI Sales Architect,Provectus,"Chicago, IL",Not Provided,AI,https://jooble.org/jdp/6013761429918258694
Automotive Technology faculty (PTATA-25) - Oakton College | Oakton College,Oakton College,"Skokie, IL",Not Provided,Not Provided,https://jooble.org/jdp/4140168486887967426
Vice President of Engineering & Emerging Technologies,Confidential,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/1919715242947628412
Strategy& Consulting Technology Manager Save for Later Remove job,PwC,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/7071775463370934242
Senior Consultant - Healthcare AI and Digital Consulting,Infosys Limited,"Chicago, IL",Not Provided,AI,https://jooble.org/jdp/-2393256810837924166
"Vice President Program Director, Global Technology & Infrastructure Advisory",Confidential,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-6733281689245738410
Azure Cloud Application Developer,Mastech Digital,"Niles, IL",Not Provided,"Azure, Cloud",https://jooble.org/away/-6329927464088724055
Senior Salesforce Developer,Mastech Digital,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/away/1194327780264775107
Senior Engineer,Origin Digital,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-4192780665855890351
Special Procedure Tech I,OSF HealthCare,"Evergreen Park, IL",Not Provided,Not Provided,https://jooble.org/jdp/873598134809492136
Cloud Architect,Foremost Consulting LLC,"Chicago, IL",Not Provided,Cloud,https://jooble.org/jdp/-2783917202577119915
Lead Backend Developer - Crypto Tech Innovator (Hiring Immediately),Jobot,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/6935236440470902211
Chief Engineering Officer (Hiring Immediately),Jobot,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-7265556220950293760
ServiceNow Developer,Capgemini,"Chicago, IL",Not Provided,Not Provided,https://jooble.org/jdp/-7742249677352407707
